model_type,experimental_set,control_set_id,layer,sign_count_patch,sign_count_control,magnitude_patch,magnitude_control
clean,0-1,1,layer1,0.9900000095367432,0.009999999776482582,0.373378187417984,-0.373378187417984
clean,0-1,1,layer2,0.019999999552965164,0.9800000190734863,-0.13505786657333374,0.13505786657333374
clean,0-1,1,layer3,0.1550000011920929,0.8450000286102295,-0.06073283031582832,0.06073283031582832
clean,0-1,1,layer4,1.0,0.0,0.25549715757369995,-0.25549715757369995
clean,0-2,2,layer1,0.7400000095367432,0.25999999046325684,0.13600727915763855,-0.13600727915763855
clean,0-2,2,layer2,1.0,0.0,0.21695764362812042,-0.21695764362812042
clean,0-2,2,layer3,1.0,0.0,0.37884876132011414,-0.37884876132011414
clean,0-2,2,layer4,1.0,0.0,0.349422425031662,-0.349422425031662
clean,0-3,3,layer1,0.7250000238418579,0.2750000059604645,0.0769815593957901,-0.0769815593957901
clean,0-3,3,layer2,0.0,1.0,-0.20097412168979645,0.20097412168979645
clean,0-3,3,layer3,1.0,0.0,0.537982702255249,-0.537982702255249
clean,0-3,3,layer4,1.0,0.0,0.5165557265281677,-0.5165557265281677
spurious,0-1,1,layer1,0.019999999552965164,0.9800000190734863,-0.05229482054710388,0.05229482054710388
spurious,0-1,1,layer2,0.02500000037252903,0.9750000238418579,-0.03312213346362114,0.03312213346362114
spurious,0-1,1,layer3,0.9950000047683716,0.004999999888241291,0.13594461977481842,-0.13594461977481842
spurious,0-1,1,layer4,1.0,0.0,0.4052850008010864,-0.4052850008010864
spurious,0-2,2,layer1,0.03500000014901161,0.9649999737739563,-0.0891105905175209,0.0891105905175209
spurious,0-2,2,layer2,0.009999999776482582,0.9900000095367432,-0.051471047103405,0.051471047103405
spurious,0-2,2,layer3,0.925000011920929,0.07500000298023224,0.08758474141359329,-0.08758474141359329
spurious,0-2,2,layer4,1.0,0.0,0.32970914244651794,-0.32970914244651794
spurious,0-3,3,layer1,0.014999999664723873,0.9850000143051147,-0.07216458767652512,0.07216458767652512
spurious,0-3,3,layer2,0.014999999664723873,0.9850000143051147,-0.038641706109046936,0.038641706109046936
spurious,0-3,3,layer3,0.5199999809265137,0.47999998927116394,-0.004851524718105793,0.004851524718105793
spurious,0-3,3,layer4,1.0,0.0,0.6379801034927368,-0.6379801034927368
