experiment,layer,concept_set,control_set_id,tcav_score
Concept Stability,layer2,striped_A,N/A,0.6223776340484619
Concept Stability,layer3,striped_A,N/A,0.8321678042411804
Control Sensitivity,layer2,striped_A,0,0.8251748085021973
Control Sensitivity,layer3,striped_A,0,0.867132842540741
Control Sensitivity,layer2,striped_A,1,0.9720279574394226
Control Sensitivity,layer3,striped_A,1,1.0
Control Sensitivity,layer2,striped_A,2,0.9720279574394226
Control Sensitivity,layer3,striped_A,2,1.0
Layer Sensitivity,layer1,striped_A,0,0.692307710647583
Layer Sensitivity,layer2,striped_A,0,0.8041958212852478
Layer Sensitivity,layer3,striped_A,0,1.0
Layer Sensitivity,layer4,striped_A,0,1.0
Layer Sensitivity,layer1,striped_A,1,0.9160839319229126
Layer Sensitivity,layer2,striped_A,1,0.881118893623352
Layer Sensitivity,layer3,striped_A,1,0.9860140085220337
Layer Sensitivity,layer4,striped_A,1,1.0
Layer Sensitivity,layer1,striped_A,2,0.7132866978645325
Layer Sensitivity,layer2,striped_A,2,0.8531468510627747
Layer Sensitivity,layer3,striped_A,2,0.5244755148887634
Layer Sensitivity,layer4,striped_A,2,1.0
